| Metric | Baseline | Candidate | Change |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p95` | 8.925 | 8.868 | -0.6% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p99` | 11.221 | 12.815 | +14.2% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.max` | 36.401 | 31.623 | -13.1% |
| `representative_combat.action_matrix.wildfire_halo.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.action_matrix.wildfire_halo.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.wildfire_halo.action_completion_ms` | 2416.316 | 2414.311 | -0.1% |
| `representative_combat.action_matrix.wildfire_halo.draw_calls.median` | 742.000 | 742.000 | +0.0% |
| `representative_combat.action_matrix.wildfire_halo.draw_calls.max` | 1036.000 | 1036.000 | +0.0% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.median` | 8.331 | 8.349 | +0.2% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.p95` | 8.606 | 8.594 | -0.1% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.p99` | 16.779 | 16.316 | -2.8% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.max` | 23.625 | 21.126 | -10.6% |
| `representative_combat.action_matrix.shadow_step.frames_over_16_67_ms` | 3.000 | 2.000 | -33.3% |
| `representative_combat.action_matrix.shadow_step.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.shadow_step.action_completion_ms` | 2100.840 | 2092.584 | -0.4% |
| `representative_combat.action_matrix.shadow_step.draw_calls.median` | 735.000 | 734.000 | -0.1% |
| `representative_combat.action_matrix.shadow_step.draw_calls.max` | 1080.000 | 1082.000 | +0.2% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.median` | 8.336 | 8.328 | -0.1% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.p95` | 16.405 | 15.020 | -8.4% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.p99` | 41.104 | 39.819 | -3.1% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.max` | 41.104 | 39.819 | -3.1% |
| `representative_combat.ability_action_matrix.quick_wits.frames_over_16_67_ms` | 4.000 | 4.000 | +0.0% |
| `representative_combat.ability_action_matrix.quick_wits.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.ability_action_matrix.quick_wits.total_ms` | 825.241 | 824.145 | -0.1% |
| `representative_combat.ability_action_matrix.quick_wits.draw_calls.median` | 1042.000 | 1040.000 | -0.2% |
| `representative_combat.ability_action_matrix.quick_wits.draw_calls.max` | 1138.000 | 1137.000 | -0.1% |
| `representative_combat.ability_action_matrix.encore.frame_interval_ms.median` | 8.320 | 8.319 | -0.0% |
| `representative_combat.ability_action_matrix.encore.frame_interval_ms.p95` | 14.151 | 14.874 | +5.1% |
| `representative_combat.ability_action_matrix.encore.frame_interval_ms.p99` | 28.009 | 26.983 | -3.7% |
| `representative_combat.ability_action_matrix.encore.frame_interval_ms.max` | 28.009 | 26.983 | -3.7% |
| `representative_combat.ability_action_matrix.encore.frames_over_16_67_ms` | 3.000 | 3.000 | +0.0% |
| `representative_combat.ability_action_matrix.encore.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.ability_action_matrix.encore.total_ms` | 561.067 | 572.080 | +2.0% |
| `representative_combat.ability_action_matrix.encore.draw_calls.median` | 1096.000 | 1096.000 | +0.0% |
| `representative_combat.ability_action_matrix.encore.draw_calls.max` | 1485.000 | 1484.000 | -0.1% |
